__admin_assignee_id__,__category__,__company_id__,__created_at__,__id__,__is_shared__,__open__,__snoozed_until__,__team_assignee_id__,__ticket_id__,__type__,__updated_at__,__ticket_attributes__default_description___,__ticket_attributes__default_title___,__ticket_state_category__,__ticket_state_external_label__,__ticket_state_id__,__ticket_state_internal_label__,__ticket_state_type__
50030326,Customer,66f273e799eb08d8a429ab5b,1743672429,207403600599026,True,False,NULL,50036651,8582,ticket,1743840013,NULL,Assessment cannot complete (missing start time after being saved for later),resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f26dd2f286f0258957c291,1743599940,207403600597697,True,False,NULL,50036651,8522,ticket,1743836481,"Error made by person setting up schedule 
 (has been set to schedule once every 24 days)",Wellbeing check not scheduling,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f26dd2f286f0258957c295,1743691117,207403600599818,True,False,NULL,50036651,8629,ticket,1743840013,NULL,Warning showing on interaction,waiting_on_customer,Waiting on you,3,Waiting on customer,ticket_state
50030326,Customer,66f268dd87696e0511370827,1743591272,207403600597279,True,False,NULL,50036651,8499,ticket,1743840011,NULL,No camera on app,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f27ab51971ebd4429f7adb,1743520731,207403600595706,True,False,NULL,50036651,8436,ticket,1743840012,NULL,Cannot save edit to completed interaction,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f2745961a1c013c736a263,1743517677,207403600595515,True,False,NULL,50036651,8427,ticket,1743840011,NULL,Pending Data,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,6763d93a6eece823f908a0d2,1743671121,207403600598953,True,False,NULL,50036651,8577,ticket,1743840013,NULL,"Blank template, care plans importing loop",resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f2670b1971eb1872df0262,1743687414,207403600599664,True,False,NULL,50036651,8621,ticket,1743840013,NULL,Device speech to text not working,waiting_on_customer,Waiting on you,3,Waiting on customer,ticket_state
50030326,Customer,66f2745b61a1c013c736a27a,1743760665,207403600600865,True,False,NULL,50036651,8681,ticket,1743840014,NULL,Blank page login,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,67d81b1744a37f975c03813b,1743688563,207403600599710,True,False,NULL,50036651,8627,ticket,1743840013,NULL,Created service users in wrong location,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f25ea187696efc693799f1,1743597017,207403600597593,True,False,NULL,50036651,8516,ticket,1743840011,NULL,Adding ReSPECT badge,resolved,Resolved,4,Resolved,ticket_state
50032759,Customer,672dd2e7071def26b8a2ef1d,1743777937,207403600601545,True,True,1744012800,50036651,8727,ticket,1743926186,NULL,Changing time of assessment of a wound,in_progress,In progress,2,In progress,ticket_state
50030326,Customer,672dd2e7071def26b8a2ef24,1743692001,207403600599845,True,False,NULL,50036651,8634,ticket,1743840013,NULL,How to send messages in Nourish,resolved,Resolved,4,Resolved,ticket_state
50032759,Customer,66f2605b723721805b36f91d,1743810030,207403600601971,True,False,NULL,50032161,8743,ticket,1743886007,NULL,NULL,submitted,Submitted,1,Submitted,ticket_state
50032759,Customer,66f2555541abcb5b944a04cd,1743844251,207403600602186,True,True,NULL,50032161,8753,ticket,1743860232,NULL,NULL,submitted,Submitted,1,Submitted,ticket_state
50030326,Customer,66f2651599eb08be427bec63,1743601125,207403600597748,True,False,NULL,50036651,8525,ticket,1743840014,NULL,Remove 2 questions from medical conditions assessment,resolved,Resolved,4,Resolved,ticket_state
50030326,Customer,66f2746261a1c013c736a2b8,1743583034,207403600596718,True,False,NULL,50036651,8483,ticket,1743840013,NULL,Archieve 76 Coolinge,resolved,Resolved,4,Resolved,ticket_state
50032759,Customer,66f26dd2f286f0258957c291,1743856809,207403600602398,True,True,NULL,50032161,8757,ticket,1743862940,NULL,NULL,submitted,Submitted,1,Submitted,ticket_state
50023797,Customer,NULL,1743747258,207403600600389,True,False,NULL,50032161,8666,ticket,1743926821,NULL,NULL,resolved,Resolved,4,Resolved,ticket_state
50038045,Customer,66f25a359fa29f83d301de91,1747263377,207403600836264,True,True,1747468800,50032161,11434,ticket,1747401868,NULL,NULL,submitted,Submitted,1,Submitted,ticket_state
50030326,Customer,66f253b2fd9d55e6835d2f90,1747235285,207403600835202,True,False,NULL,50036651,11417,ticket,1747297041,NULL,Slow reports,resolved,Closed,4,Resolved,ticket_state
50023794,Customer,NULL,1747325491,207403600839693,True,False,NULL,50032161,11528,ticket,1747406343,NULL,NULL,resolved,Closed,4,Resolved,ticket_state
50032759,Customer,66f2555d9fa29f81c601fd35,1747075112,207403600821162,True,True,NULL,50032161,11255,ticket,1747310386,NULL,NULL,submitted,Submitted,1,Submitted,ticket_state
